Reference;Nom;Prix_Unitaire_TND;Description;Stock;Categorie;URL;Source
DS-001-SO;Diffuseur Sougui;20,00;Tote bag entoile canvas de coton épaisse, illustré avec des motifs inspirés de la culture tunisienne. Résistant, élégant et réutilisable — l’allié parfait du quotidien.;;Couffins & Foutas;https://sougui.tn/product/tote-bag-sougui/;Sougui
BP-001-SO;Bougie Parfumée Sougui;20,00;Tote bag entoile canvas de coton épaisse, illustré avec des motifs inspirés de la culture tunisienne. Résistant, élégant et réutilisable — l’allié parfait du quotidien.;;Couffins & Foutas;https://sougui.tn/product/tote-bag-sougui/;Sougui
CFA-001-SO;Coffret Flamme d’artisan – Jasmin Noir ou Silex;50,00;Coffret élégant comprenant un diffuseur et une bougie artisanale. Disponible en deux parfums envoûtants : Jasmin Noir et Silex.;;Esprit Romance;https://sougui.tn/product/coffret-diffuseur-et-bougie-jasmin-noir-ou-silex/;Sougui
SGE-001-NA;Set Gourmet l'éveil céramique Vet d'eau;200,00;Découvrez leSet Gourmet L’Éveil, un service de vaisselle encéramique en pâte blanche, disponible enBleu Gris, Terracotta et Vert d’Eau. Un design épuré et artisanal pour une table élégante et chaleureuse.;;Service de Table;https://sougui.tn/product/set-gourmet-leveil-vaisselle-en-ceramique-en-pate-blanche-bleu-gris-terracotta-vert-deau/;Sougui
SGE-002-NA;Set Gourmet l'éveil céramique Bleu Gris;200,00;Découvrez leSet Gourmet L’Éveil, un service de vaisselle encéramique en pâte blanche, disponible enBleu Gris, Terracotta et Vert d’Eau. Un design épuré et artisanal pour une table élégante et chaleureuse.;;Service de Table;https://sougui.tn/product/set-gourmet-leveil-vaisselle-en-ceramique-en-pate-blanche-bleu-gris-terracotta-vert-deau/;Sougui
SGE-003-NA;Set Gourmet l'éveil céramique Terracotta;200,00;Découvrez leSet Gourmet L’Éveil, un service de vaisselle encéramique en pâte blanche, disponible enBleu Gris, Terracotta et Vert d’Eau. Un design épuré et artisanal pour une table élégante et chaleureuse.;;Service de Table;https://sougui.tn/product/set-gourmet-leveil-vaisselle-en-ceramique-en-pate-blanche-bleu-gris-terracotta-vert-deau/;Sougui
SO-001-NA;Set de TABLE « Organica »;184,00;Apportez une touche d’élégance à votre table avec ceset en céramique en pâte blanche vert mat. Un design épuré et intemporel qui s’adapte à toutes les occasions.;;Service de Table;https://sougui.tn/product/set-de-vaisselle-organica-en-pate-blanche-19-pieces-pour-6-personnes/;Sougui
SA-001-NA;Set de TABLE « Astéria »;184,00;Découvrez leSet de Vaisselle Asteria, une création artisanale encéramique en pâte blancheavec un effet moucheté unique. Son contraste subtil entre l’intérieur blanc éclatant et la finition naturelle extérieure apporte une touche élégante et intemporelle à votre table.;;Service de Table;https://sougui.tn/product/service-de-table-asteria/;Sougui
SOV-001-NA;Set de TABLE « olivéa » en grès ;184,00;Set de vaisselle en grès « Olivéa » – Plongez dans une ambiance apaisante avec ceset en grès vert mat. Un design épuré inspiré de la nature, parfait pour une table chaleureuse et tendance.;;Service de Table;https://sougui.tn/product/set-complet-olivea-en-gres-31-pieces-pour-6-personnes/;Sougui
SSN-001-2M;Set « Séli » en Grès Noirs;184,00;Leset « Séli »est conçu pour les amateurs devaisselle élégante et durable. Fabriqué engrès noir texturé, il alliesolidité, modernité et artisanat haut de gamme.;;Service de Table;https://sougui.tn/product/set-complet-seli-en-gres-noir-31-pieces-elegantes-et-authentiques/;Sougui
